名前,ふりがな,メールアドレス,性別,年齢,誕生日,血液型,都道府県,電話番号
細川 憲一,ほそかわ けんいち,hosokawa_kenichi@example.com,男,31,1988/11/27,B型,岩手県,033-870-2873
永田 涼子,ながた りょうこ,nagata_ryouko@example.com,女,57,1962/10/8,B型,大阪府,093-956-2244
堤 杏,つつみ あん,tsutsumi_ann@example.com,女,44,1976/5/20,A型,滋賀県,036-941-3494
阪口 美和子,さかぐち みわこ,sakaguchi_miwako@example.com,女,58,1962/5/28,A型,大阪府,072-998-1783
芦田 徹,あしだ とおる,ashida_tohru@example.com,男,79,1941/5/6,B型,広島県,097-951-2710
坂井 倫子,さかい のりこ,sakai_noriko@example.com,女,61,1959/1/23,A型,茨城県,029-306-8966
菅野 由美子,かんの ゆみこ,kanno_yumiko@example.com,女,44,1975/11/9,O型,広島県,083-665-8117
甲斐 小雁,かい こがん,kai_kogan@example.com,男,25,1995/2/23,A型,福岡県,099-898-4169
小野田 仁,おのだ じん,onoda_jin@example.com,男,64,1956/5/26,B型,千葉県,037-201-8776
栗原 沙知絵,くりはら さちえ,kurihara_sachie@example.com,女,57,1963/4/14,A型,広島県,018-993-5863
荒井 サダヲ,あらい さだお,arai_sadawo@example.com,男,76,1944/7/23,A型,千葉県,054-747-3847
丸山 那奈,まるやま なな,maruyama_nana@example.com,女,42,1978/8/12,O型,佐賀県,098-493-7377
古田 妃里,ふるた ゆり,furuta_yuri@example.com,女,61,1958/11/29,O型,愛知県,070-798-9580
田村 草太,たむら そうた,tamura_souta@example.com,男,72,1948/3/16,A型,新潟県,078-399-6634
渡部 誠一,わたべ せいいち,watabe_seiichi@example.com,男,56,1964/6/28,B型,岐阜県,055-956-9760
小池 優,こいけ ゆう,koike_yuu@example.com,女,21,1998/12/15,AB型,秋田県,090-713-7714
神保 彩,じんぼ あや,jinbo_aya@example.com,女,32,1988/7/15,B型,神奈川県,077-913-8560
神原 惇,かんばら じゅん,kannbara_jun@example.com,男,58,1962/6/12,B型,新潟県,045-455-6687
邑野 幸子,むらの さちこ,murano_sachiko@example.com,女,28,1991/10/30,A型,神奈川県,071-315-9797
